title,brand,gender,mrp,discount_percent,price_after_discount,star_rating,num_ratings,product_link,scraped_on
Flair Mode Men Running Shoes,ADIDAS,men,4599,64,1637,4.2,0,https://www.myntra.com/sports-shoes/adidas/adidas-flair-mode-men-running-shoes/32704383/buy,2025-10-10T15:53:59.354465+05:30
Men Tracktress Running Shoes,ADIDAS,men,5299,68,1651,4.3,54,https://www.myntra.com/sports-shoes/adidas/adidas-men-woven-design-tracktress-running-shoes/29885177/buy,2025-10-10T15:35:12.201368+05:30
Cloud-Fastline Running Shoes,ADIDAS,men,4599,63,1671,4.8,0,https://www.myntra.com/sports-shoes/adidas/adidas-cloud-fastline-men-running-shoes-/32871625/buy,2025-10-10T15:41:13.369707+05:30
Basic Run-Wave Running Shoes,ADIDAS,men,3799,55,1676,4.9,0,https://www.myntra.com/sports-shoes/adidas/adidas-basic-run-wave-men-running-shoes-/32871586/buy,2025-10-10T15:43:03.978662+05:30
Men Adi Speudo Running shoes,ADIDAS,men,4799,64,1680,4.2,29,https://www.myntra.com/sports-shoes/adidas/adidas-men-adi-speudo-running-shoes/29885110/buy,2025-10-10T15:35:48.147028+05:30
Men Dash-Run Running Shoes,ADIDAS,men,4999,66,1692,4.5,22,https://www.myntra.com/sports-shoes/adidas/adidas-men-dash-run-running-shoes/29885171/buy,2025-10-10T15:35:11.176836+05:30
Men Cosmio Running Shoes,ADIDAS,men,4999,66,1699,4.3,142,https://www.myntra.com/sports-shoes/adidas/adidas-men-cosmio-running-shoes/30944387/buy,2025-10-10T15:29:56.562707+05:30
Men Adi-Acme Running Shoes,ADIDAS,men,4599,63,1699,4.4,101,https://www.myntra.com/sports-shoes/adidas/adidas-men-adi-acme-running-shoes/26517494/buy,2025-10-10T15:46:48.435679+05:30
Men Zapcore Running Shoes,ADIDAS,men,4799,64,1708,4.6,35,https://www.myntra.com/sports-shoes/adidas/adidas-men-zapcore-ortholite-running-shoes/32355673/buy,2025-10-10T15:31:01.411553+05:30
Men Flair Mode Running Shoes,ADIDAS,men,4599,62,1747,4.5,118,https://www.myntra.com/sports-shoes/adidas/adidas-men-woven-design-flair-mode-running-shoes/26517414/buy,2025-10-10T15:32:08.179003+05:30
Men Comfort Stride Walking,ADIDAS,men,4999,65,1749,4.6,46,https://www.myntra.com/sports-shoes/adidas/adidas-men-comfort-stride-walking-shoes/26516502/buy,2025-10-10T15:44:24.700810+05:30
Cosmio Skateboarding Shoes,ADIDAS,men,4999,65,1749,,0,https://www.myntra.com/sports-shoes/adidas/adidas-cosmio-men--skateboarding-shoes-/32871578/buy,2025-10-10T15:49:36.307733+05:30
Men Ultrafly M Running Shoes,ADIDAS,men,4999,64,1750,4.2,605,https://www.myntra.com/sports-shoes/adidas/adidas-men-black-ultrafly-m-woven-design-running-shoes/14782298/buy,2025-10-10T15:34:23.799279+05:30
Men Flexpace Walking Shoes,ADIDAS,men,3999,56,1759,4.3,161,https://www.myntra.com/sports-shoes/adidas/adidas-men-charcoal-grey--white-woven-design-flexpace-walking-shoes/18373568/buy,2025-10-10T15:42:19.890613+05:30
Men Runmagica Running Shoes,ADIDAS,men,4299,58,1777,4.3,546,https://www.myntra.com/sports-shoes/adidas/adidas-men-grey-woven-design-runmagica-running-shoes/14782096/buy,2025-10-10T15:34:24.079686+05:30
Men AeroSprintX Running Shoes,ADIDAS,men,4599,60,1799,4.4,40,https://www.myntra.com/sports-shoes/adidas/adidas-men-aerosprintx-running-shoes/33380889/buy,2025-10-10T15:25:55.047715+05:30
Men Woven Design Zap-Run Shoes,ADIDAS,men,4299,58,1799,3.9,15,https://www.myntra.com/sports-shoes/adidas/adidas-men-woven-design-zap-run-shoes/34009984/buy,2025-10-10T15:29:31.208445+05:30
Men Comfrt Walking Shoes,ADIDAS,men,4599,60,1799,4.5,227,https://www.myntra.com/sports-shoes/adidas/adidas-men-woven-design-round-toe-comfrt-walking-shoes-with-striped-detail/26516164/buy,2025-10-10T15:32:47.215880+05:30
CLOUDFOAM COMFY LE 1,ADIDAS,men,3599,50,1799,,0,https://www.myntra.com/sports-shoes/adidas/adidas-cloudfoam-comfy-le-1-shoes/37088893/buy,2025-10-10T15:35:06.868552+05:30
Adi Revup Men Running Shoes,ADIDAS,men,4599,60,1799,4.8,0,https://www.myntra.com/sports-shoes/adidas/adidas-adi-revup-men-running-shoes/31613988/buy,2025-10-10T15:36:38.821891+05:30
Men Adiglide Running Shoes,ADIDAS,men,4299,57,1820,4.3,1300,https://www.myntra.com/sports-shoes/adidas/adidas-men-charcoal-grey-woven-design-adiglide-running-shoes/14782490/buy,2025-10-10T15:29:03.257260+05:30
Men AeroEchoZest Running Shoes,ADIDAS,men,4599,60,1839,,0,https://www.myntra.com/sports-shoes/adidas/adidas-men-aeroechozest-3-striped-running-shoes/32355642/buy,2025-10-10T15:30:57.238558+05:30
Men AeroSprintX Running Shoes,ADIDAS,men,4599,60,1839,4.1,33,https://www.myntra.com/sports-shoes/adidas/adidas-men-aerosprintx-cloudfoam-running-shoes/33380884/buy,2025-10-10T15:31:36.186510+05:30
Men AeroSprintX Running Shoes,ADIDAS,men,4599,60,1839,4.4,16,https://www.myntra.com/sports-shoes/adidas/adidas-men-aerosprintx-cloudfoam-running-shoes/33380885/buy,2025-10-10T15:33:29.354679+05:30
Men Running Shoes,ADIDAS,men,4599,60,1839,4.3,209,https://www.myntra.com/sports-shoes/adidas/adidas-men-textile-running-shoes/26517636/buy,2025-10-10T15:37:03.174545+05:30
Men Flexpace Walking Shoes,ADIDAS,men,3999,54,1839,4.2,120,https://www.myntra.com/sports-shoes/adidas/adidas-men-navy-blue--grey-woven-design-flexpace-walking-shoes/18373492/buy,2025-10-10T15:37:06.699509+05:30
Men Flaze Mode Running Shoes,ADIDAS,men,4599,60,1839,4.6,63,https://www.myntra.com/sports-shoes/adidas/adidas-men-flaze-mode-woven-design-running-shoes/32355719/buy,2025-10-10T15:53:11.156503+05:30
Men Track-Gait Running Shoes,ADIDAS,men,4599,59,1840,4.4,56,https://www.myntra.com/sports-shoes/adidas/adidas-men-track-gait-running-shoes/32355759/buy,2025-10-10T15:32:30.634399+05:30
Men AeroEchoZest Running Shoes,ADIDAS,men,4599,59,1841,4.2,25,https://www.myntra.com/sports-shoes/adidas/adidas-men-aeroechozest-3-striped-running-shoes/32355631/buy,2025-10-10T15:34:14.805675+05:30
Unisex Crinu 24 Cricket Shoes,ADIDAS,men,4799,61,1849,4.5,53,https://www.myntra.com/sports-shoes/adidas/adidas-unisex-perforated-crinu-24-cricket-shoes/32355602/buy,2025-10-10T15:22:45.352051+05:30
Men Cri Yard Cricket Shoes,ADIDAS,men,4299,56,1849,4.5,48,https://www.myntra.com/sports-shoes/adidas/adidas-men-cri-yard-cricket-shoes/32355757/buy,2025-10-10T15:26:12.025404+05:30
Flair Mode Men Running Shoes,ADIDAS,men,4599,59,1849,,0,https://www.myntra.com/sports-shoes/adidas/adidas-flair-mode-men-running-shoes/31613989/buy,2025-10-10T15:50:07.226805+05:30
Men Adidash Running Shoes,ADIDAS,men,5299,65,1850,3.9,95,https://www.myntra.com/sports-shoes/adidas/adidas-men-woven-design-adidash-running-shoes/23129966/buy,2025-10-10T15:41:06.742234+05:30
Men Runhigh St Sports Shoes,ADIDAS,men,5299,65,1854,4.8,16,https://www.myntra.com/sports-shoes/adidas/adidas-men-runhigh-st-sports-shoes/32355590/buy,2025-10-10T15:35:12.059320+05:30
Men Track-One Running Shoes,ADIDAS,men,5299,65,1854,3.8,42,https://www.myntra.com/sports-shoes/adidas/adidas-men-track-one-running-shoes/29885221/buy,2025-10-10T15:44:52.620070+05:30
Men Dash-It Running Shoes,ADIDAS,men,5299,65,1854,4.5,80,https://www.myntra.com/sports-shoes/adidas/adidas-men-woven-design-dash-it-running-shoes/26516220/buy,2025-10-10T15:51:10.142754+05:30
Men Zap-Run Shoes,ADIDAS,men,4299,55,1897,4.4,10,https://www.myntra.com/sports-shoes/adidas/adidas-men-zap-run-shoes/34010033/buy,2025-10-10T15:35:34.862069+05:30
Zapcore Men Running Shoes,ADIDAS,men,4799,59,1920,4.7,33,https://www.myntra.com/sports-shoes/adidas/adidas-zapcore-men-running-shoes/32704402/buy,2025-10-10T15:26:11.381901+05:30
Men Crinu 24 Cricket Shoes,ADIDAS,men,4799,59,1920,3.7,61,https://www.myntra.com/sports-shoes/adidas/adidas-men-crinu-24-cricket-shoes/30944380/buy,2025-10-10T15:37:48.653491+05:30
Tennis Wiz Men Tennis Shoes,ADIDAS,men,4799,59,1922,4,0,https://www.myntra.com/sports-shoes/adidas/adidas-tennis-wiz-men-tennis-shoes-/32871619/buy,2025-10-10T15:47:37.575448+05:30
Men Cloudfoam Running Shoes,ADIDAS,men,4999,60,1990,4.1,12,https://www.myntra.com/sports-shoes/adidas/adidas-men-aero-rush-rise-cloudfoam-running-shoes/34009959/buy,2025-10-10T15:31:36.612141+05:30
Men Cmfortz 1.0 Running Shoes,ADIDAS,men,5599,64,1993,4.8,43,https://www.myntra.com/sports-shoes/adidas/adidas-men-cmfortz-10-running-shoes/32264360/buy,2025-10-10T15:34:05.110871+05:30
Men Lightrun Edge Force Shoes,ADIDAS,men,5599,64,1993,4.4,70,https://www.myntra.com/sports-shoes/adidas/adidas-men-lightrun-edge-force-running-shoes/29885200/buy,2025-10-10T15:53:59.476408+05:30
